#;RAJ;DECJ;P0;P1;NAME;PSRJ;PSR;BINARY;PB;
 ;(hms);(dms);(s); ; ; ;TYPE;(type);(days);
1;00:02:58.1;+62:16:09.4;0.115364;5.97e-15;J0002+6216;J0002+6216;NRAD;*;*;
2;00:06:04.8;+18:34:59;0.693748;2.10e-15;J0006+1834;J0006+1834;*;*;*;
3;00:07:01.7;+73:03:07.4;0.315873;3.60e-13;J0007+7303;J0007+7303;NRAD;*;*;
4;00:11:34;+08:10;2.552870;*;J0011+08;J0011+08;*;*;*;
5;00:14:17.7;+47:46:33.4;1.240699;5.64e-16;B0011+47;J0014+4746;*;*;*;
6;00:23:16.8;+09:23:23.8;0.003050;1.14e-20;J0023+0923;J0023+0923;HE;ELL1;0.1388;
7;00:24:06.0;-72:05:01.4;0.004554;-4.54e-21;J0024-7201Z;J0024-7201Z;*;*;*;
8;00:24:05.6;-72:04:52.6;0.001840;*;J0024-7204aa;J0024-7204aa;*;*;*;
9;00:24:08.1;-72:04:47.6;0.003705;9.82e-21;J0024-7204ab;J0024-7204ab;*;*;*;
10;00:23:50.3;-72:04:31.5;0.005757;-4.99e-20;B0021-72C;J0024-7204C;*;*;*;
11;00:24:13.8;-72:04:43.8;0.005358;-3.42e-21;B0021-72D;J0024-7204D;*;*;*;
12;00:24:11.1;-72:05:20.1;0.003536;9.85e-20;B0021-72E;J0024-7204E;*;DD;2.2568;
13;00:24:03.8;-72:04:42.8;0.002624;6.45e-20;B0021-72F;J0024-7204F;*;*;*;
14;00:24:07.9;-72:04:39.7;0.004040;-4.22e-20;B0021-72G;J0024-7204G;*;*;*;
15;00:24:06.7;-72:04:06.8;0.003210;-1.83e-21;B0021-72H;J0024-7204H;*;DD;2.3577;
16;00:24:07.9;-72:04:39.6;0.003485;-4.59e-20;B0021-72I;J0024-7204I;*;ELL1;0.2298;
17;00:23:59.4;-72:03:58.7;0.002101;-9.79e-21;B0021-72J;J0024-7204J;*;BTX;0.1207;
18;00:24:03.7;-72:04:56.9;0.004346;-1.22e-19;B0021-72L;J0024-7204L;*;*;*;
19;00:23:54.4;-72:05:30.7;0.003677;-3.84e-20;B0021-72M;J0024-7204M;*;*;*;
20;00:24:09.1;-72:04:28.8;0.003054;-2.19e-20;B0021-72N;J0024-7204N;*;*;*;
21;00:24:04.6;-72:04:53.7;0.002643;3.03e-20;J0024-7204O;J0024-7204O;*;BTX;0.1360;
22;00:24:20;-72:04:10;0.003643;6.64e-19;J0024-7204P;J0024-7204P;*;BT;0.1472;
23;00:24:16.4;-72:04:25.1;0.004033;3.40e-20;J0024-7204Q;J0024-7204Q;*;ELL1;1.1891;
24;00:24:07.5;-72:04:50.3;0.003480;1.48e-19;J0024-7204R;J0024-7204R;*;ELL1;0.0662;
25;00:24:03.9;-72:04:42.3;0.002830;-1.21e-19;J0024-7204S;J0024-7204S;*;ELL1;1.2017;
26;00:24:08.5;-72:04:38.9;0.007588;2.94e-19;J0024-7204T;J0024-7204T;*;ELL1;1.1262;
